datetime,line_id,stop_id,bus_id,boarding,alighting,current_load,new_load,occupancy_rate,trip_id,stop_sequence,total_stops,fitness_score,source
2025-06-02 08:36:31.607049,101-1,10401,opt_bus_101-1_0753,0,0,0,0,0.0,40,6,89,0.8126430487707956,optimized_schedule
2025-06-02 08:36:42.485729,101,11858,opt_bus_101_0528,0,0,0,0,0.0,1,32,78,0.8121139032132771,optimized_schedule
2025-06-02 08:37:19.422625,101-1,10028,opt_bus_101-1_0830,0,0,0,0,0.0,42,2,89,0.8126430487707956,optimized_schedule
2025-06-02 08:39:04.666025,101,10113,opt_bus_101_0830,0,0,0,0,0.0,6,2,78,0.8121139032132771,optimized_schedule
2025-06-02 08:39:47.637462,101-1,11258,opt_bus_101-1_0559,0,0,0,0,0.0,38,27,89,0.8126430487707956,optimized_schedule
2025-06-02 08:40:08.150709,101-1,11167,opt_bus_101-1_0723,0,0,0,0,0.0,39,10,89,0.8126430487707956,optimized_schedule
2025-06-02 08:42:43.155298,101-1,11323,opt_bus_101-1_0540,0,0,0,0,0.0,37,32,89,0.8126430487707956,optimized_schedule
2025-06-02 08:43:31.607049,101-1,10401,opt_bus_101-1_0800,0,0,0,0,0.0,41,6,89,0.8126430487707956,optimized_schedule
2025-06-02 08:43:38.975562,101,11173,opt_bus_101_0702,0,0,0,0,0.0,3,14,78,0.8121139032132771,optimized_schedule
2025-06-02 08:44:11.015487,101,11182,opt_bus_101_0623,0,0,0,0,0.0,2,21,78,0.8121139032132771,optimized_schedule
2025-06-02 08:44:29.567851,101,11167,opt_bus_101_0739,0,0,0,0,0.0,4,9,78,0.8121139032132771,optimized_schedule
2025-06-02 08:45:55.668218,101,11868,opt_bus_101_0528,0,0,0,0,0.0,1,33,78,0.8121139032132771,optimized_schedule
2025-06-02 08:46:08.067678,101,10550,opt_bus_101_0800,0,0,0,0,0.0,5,6,78,0.8121139032132771,optimized_schedule
2025-06-02 08:46:09.998858,101-1,10550,opt_bus_101-1_0753,0,0,0,0,0.0,40,7,89,0.8126430487707956,optimized_schedule
2025-06-02 08:47:15.800379,101-1,10113,opt_bus_101-1_0830,0,0,0,0,0.0,42,3,89,0.8126430487707956,optimized_schedule
2025-06-02 08:48:28.616239,101-1,11260,opt_bus_101-1_0559,0,0,0,0,0.0,38,28,89,0.8126430487707956,optimized_schedule
2025-06-02 08:48:43.842593,101-1,11168,opt_bus_101-1_0723,0,0,0,0,0.0,39,11,89,0.8126430487707956,optimized_schedule
2025-06-02 08:48:55.821718,101,10268,opt_bus_101_0830,0,0,0,0,0.0,6,3,78,0.8121139032132771,optimized_schedule
2025-06-02 08:49:22.254306,101-1,11858,opt_bus_101-1_0540,0,0,0,0,0.0,37,33,89,0.8126430487707956,optimized_schedule
2025-06-02 08:51:40.112720,101,11870,opt_bus_101_0528,0,0,0,0,0.0,1,34,78,0.8121139032132771,optimized_schedule
2025-06-02 08:51:46.939869,101,10883,opt_bus_101_0800,0,0,0,0,0.0,5,7,78,0.8121139032132771,optimized_schedule
2025-06-02 08:53:06.765507,101,11168,opt_bus_101_0739,0,0,0,0,0.0,4,10,78,0.8121139032132771,optimized_schedule
2025-06-02 08:53:09.998858,101-1,10550,opt_bus_101-1_0800,0,0,0,0,0.0,41,7,89,0.8126430487707956,optimized_schedule
2025-06-02 08:53:22.026030,101,11174,opt_bus_101_0702,0,0,0,0,0.0,3,15,78,0.8121139032132771,optimized_schedule
2025-06-02 08:54:01.596806,101-1,10883,opt_bus_101-1_0753,0,0,0,0,0.0,40,8,89,0.8126430487707956,optimized_schedule
2025-06-02 08:54:16.976649,101-1,11261,opt_bus_101-1_0559,0,0,0,0,0.0,38,29,89,0.8126430487707956,optimized_schedule
2025-06-02 08:54:34.917967,101-1,10268,opt_bus_101-1_0830,0,0,0,0,0.0,42,4,89,0.8126430487707956,optimized_schedule
2025-06-02 08:54:37.586365,101,11183,opt_bus_101_0623,0,0,0,0,0.0,2,22,78,0.8121139032132771,optimized_schedule
2025-06-02 08:55:13.289583,101-1,11169,opt_bus_101-1_0723,0,0,0,0,0.0,39,12,89,0.8126430487707956,optimized_schedule
2025-06-02 08:57:06.213190,101-1,11868,opt_bus_101-1_0540,0,0,0,0,0.0,37,34,89,0.8126430487707956,optimized_schedule
2025-06-02 08:57:25.929360,101,11166,opt_bus_101_0800,0,0,0,0,0.0,5,8,78,0.8121139032132771,optimized_schedule
2025-06-02 08:58:05.672297,101,11871,opt_bus_101_0528,0,0,0,0,0.0,1,35,78,0.8121139032132771,optimized_schedule
2025-06-02 08:58:50.357192,101,10297,opt_bus_101_0830,0,0,0,0,0.0,6,4,78,0.8121139032132771,optimized_schedule
2025-06-02 08:59:02.335490,101,11169,opt_bus_101_0739,0,0,0,0,0.0,4,11,78,0.8121139032132771,optimized_schedule
2025-06-02 09:00:00.000000,101,10017,opt_bus_101_0900,0,0,0,0,0.0,7,1,78,0.8121139032132771,optimized_schedule
2025-06-02 09:00:00.000000,101-1,10017,opt_bus_101-1_0900,0,0,0,0,0.0,43,1,89,0.8126430487707956,optimized_schedule
2025-06-02 09:00:39.423405,101-1,11269,opt_bus_101-1_0559,0,0,0,0,0.0,38,30,89,0.8126430487707956,optimized_schedule
2025-06-02 09:01:01.596806,101-1,10883,opt_bus_101-1_0800,0,0,0,0,0.0,41,8,89,0.8126430487707956,optimized_schedule
